Date,Close
3/5/19,42.89
3/6/19,41.86
3/7/19,41.39
3/8/19,40.89
3/11/19,41.5
3/12/19,41.73
3/13/19,42.01
3/14/19,41.19
3/15/19,41.78
3/18/19,41.81
3/19/19,42.3
3/20/19,42.17
3/21/19,42.35
3/22/19,41.85
3/25/19,41.89
3/26/19,42.42
3/27/19,42.02
3/28/19,42.29
3/29/19,42.47
4/1/19,42.84
4/2/19,42.91
4/3/19,42.84
4/4/19,42.74
4/5/19,42.99
4/8/19,43.14
4/9/19,42.84
4/10/19,42.73
4/11/19,42.27
4/12/19,41.71
4/15/19,42.09
4/16/19,40.92
4/17/19,39.88
4/18/19,39.38
4/22/19,38.98
4/23/19,39.42
